nome;uf
Alvinópolis;MG
Alvorada de Minas;MG
Alvorada DOeste;RO
Alvorada do Gurguéia;PI
Alvorada do Norte;GO
Alvorada do Sul;PR
Alvorada;RS
Alvorada;TO
Amajari;RR
Amambaí;MS
Amapá;AP
Amapa do Maranhao;MA
Amapari;AP
Amaporã;PR
Amaraji;PE
Amaral Ferrador;RS
Amaralina;GO
Amarante do Maranhão;MA
Amarante;PI
Amargosa;BA
Amaturá;AM
Amélia Rodrigues;BA
América Dourada;BA
Americana;SP
Americano do Brasil;GO
Américo Brasiliense;SP
Américo de Campos;SP
Ametista do Sul;RS
Amontada;CE
Amorinópolis;GO
Amparo de São Francisco;SE
Amparo do Serra;MG
Amparo;PB
Amparo;SP
Ampére;PR
Anadia;AL
Anagé;BA
Anahy;PR
Anajás;PA
Anajatuba;MA
Analândia;SP
Anamã;AM
Ananás;TO
Ananindeua;PA
Anápolis;GO
Anapu;PA
Anapurus;MA
Anastácio;MS
Anaurilândia;MS
Anchieta;ES
Anchieta;SC
Andaraí;BA
Andirá;PR
Andorinha;BA
Andradas;MG
Andradina;SP
André da Rocha;RS
Andrelândia;MG
Angatuba;SP
Angelândia;MG
Angélica;MS
Angelim;PE
Angelina;SC
Angical;BA
Angical do Piauí;PI
Angicos;RN
Angico;TO
Angra dos Reis;RJ
Anguera;BA
Ângulo;PR
Anhanguera;GO
Anhembi;SP
Anhumas;SP
Anicuns;GO
Anísio de Abreu;PI
Anita Garibaldi;SC
Anitápolis;SC
Anori;AM
Anta Gorda;RS
Antas;BA
Antonina do Norte;CE
Antonina;PR
Antônio Almeida;PI
Antônio Cardoso;BA
Antônio Carlos;MG
Antônio Carlos;SC
Antônio Dias;MG
Antônio Gonçalves;BA
Antônio João;MS
Antônio Martins;RN
Antônio Olinto;PR
Antônio Prado de Minas;MG
Antônio Prado;RS
Aparecida de Goiânia;GO
Aparecida DOeste;SP
Aparecida do Rio Doce;GO
Aparecida do Rio Negro;TO
Aparecida do Tabuado;MS
Aparecida;PB
Aparecida;SP
Aperibé;RJ
Apiacá;ES
Apiacás;MT
Apiaí;SP
Apicum Açu;MA
Apiúna;SC
Apodi;RN
Aporá;BA
Aporé;GO
Apuarema;BA
Apucarana;PR
Apuí;AM
Apuiarés;CE
Aquidabã;SE
Aquidauana;MS
Aquiraz;CE
Arabutã;SC
Araçagi;PB
Araçaí;MG
Aracaju;SE
Araçariguama;SP
Araças;BA
Aracati;CE
Aracatu;BA
Araçatuba;SP
Araci;BA
Aracitaba;MG
Aracoiaba;CE
Araçoiaba da Serra;SP
Aracoiaba;PE
Aracruz;ES
Araçuaí;MG
Araçu;GO
Aragarças;GO
Aragoiânia;GO
Aragominas;TO
Araguacema;TO
Bilac;SP
Biquinhas;MG
Birigui;SP
Biritiba-Mirim;SP
Biritinga;BA
Bituruna;PR
Blumenau;SC
Boa Esperança do Iguaçu;PR
Boa Esperança do Sul;SP
Boa Esperança;ES
Boa Esperança;MG
Boa Esperança;PR
Boa Hora;PI
Boa Nova;BA
Boa Ventura de São Roque;PR
Boa Ventura;PB
Boa Viagem;CE
Boa Vista da Aparecida;PR
Boa Vista das Missões;RS
Boa Vista do Buricá;RS
Boa Vista do Gurupi;MA
Boa Vista do Incra;RS
Boa Vista do Ramos;AM
Boa Vista do Sul;RS
Boa Vista do Tupim;BA
Boa Vista;PB
Boa Vista;RR
Boca da Mata;AL
Boca do Acre;AM
Bocaina de Minas;MG
Bocaina do Sul;SC
Bocaina;PI
Bocaina;SP
Bocaiúva do Sul;PR
Bocaiúva;MG
Bodocó;PE
Bodoquena;MS
Bodo;RN
Bofete;SP
Boituva;SP
Bombinhas;SC
Bom Conselho;PE
Bom Despacho;MG
Bom Jardim da Serra;SC
Bom Jardim de Goiás;GO
Bom Jardim de Minas;MG
Bom Jardim;MA
Bom Jardim;PE
Bom Jardim;RJ
Bom Jesus da Lapa;BA
Bom Jesus da Penha;MG
Bom Jesus da Serra;BA
Bom Jesus das Selvas;MA
Bom Jesus de Goiás;GO
Bom Jesus do Amparo;MG
Bom Jesus do Araguaia;MT
Bom Jesus do Galho;MG
Bom Jesus do Itabapoana;RJ
Bom Jesus do Norte;ES
Bom Jesus do Oeste;SC
Bom Jesus dos Perdões;SP
Bom Jesus do Sul;PR
Bom Jesus do Tocantins;PA
Bom Jesus do Tocantins;TO
Bom Jesus;PB
Bom Jesus;PI
Bom Jesus;RN
Bom Jesus;RS
Bom Jesus;SC
Bom Lugar;MA
Bom Princípio do Piauí;PI
Bom Princípio;RS
Bom Progresso;RS
Bom Repouso;MG
Bom Retiro do Sul;RS
Bom Retiro;SC
Bom Sucesso de Itararé;SP
Bom Sucesso do Sul;PR
Bom Sucesso;MG
Bom Sucesso;PB
Bom Sucesso;PR
Bonfim do Piauí;PI
Bonfim;MG
Bonfim;RR
Bonfinópolis de Minas;MG
Bonfinópolis;GO
Boninal;BA
Bonito;BA
Bonito de Minas;MG
Bonito de Santa Fé;PB
Bonito;MS
Bonito;PA
Bonito;PE
Bonópolis;GO
Boqueirão do Leão;RS
Boqueirão do Piauí;PI
Boqueirão;PB
Boquim;SE
Boquira;BA
Boracéia;SP
Borá;SP
Borba;AM
Borborema;PB
Borborema;SP
Borda da Mata;MG
Borebi;SP
Borrazópolis;PR
Bossoroca;RS
Botelhos;MG
Botucatu;SP
Botumirim;MG
Botuporã;BA
Botuverá;SC
Bozano;RS
Braço do Norte;SC
Braço do Trombudo;SC
Bragança;PA
Bragança Paulista;SP
Braganey;PR
Braga;RS
Branquinha;AL
Brasilândia de Minas;MG
Brasilândia do Sul;PR
Brasilândia do Tocantins;TO
Brasilândia;MS
Brasiléia;AC
Brasileira;PI
Brasilia de Minas;MG
Brasília;DF
Brasil Novo;PA
Brasnorte;MT
Brasópolis;MG
Brás Pires;MG
Braúnas;MG
Braúna;SP
Brazabrantes;GO
Brejão;PE
Brejetuba;ES
Brejinho de Nazaré;TO
Brejinho;PE
Brejinho;RN
Brejo Alegre;SP
Brejo da Madre de Deus;PE
Brejo de Areia;MA
Brejo do Cruz;PB
Brejo do Piauí;PI
Brejo dos Santos;PB
Brejões;BA
Brejo Grande do Araguaia;PA
Brejo Grande;SE
Brejolândia;BA
Brejo;MA
Brejo Santo;CE
Breu Branco;PA
Breves;PA
Britânia;GO
Brochier;RS
Brodósqui;SP
Brotas de Macaúbas;BA
Brotas;SP
Brumadinho;MG
Brumado;BA
Brunópolis;SC
Brusque;SC
Bueno Brandão;MG
Buenópolis;MG
Buenos Aires;PE
Buerarema;BA
Bugre;MG
Buíque;PE
Bujari;AC
Bujaru;PA
Buri;SP
Buritama;SP
Buriti Alegre;GO
Buriti Bravo;MA
Buriticupu;MA
Buriti de Goiás;GO
Buriti dos Lopes;PI
Buriti dos Montes;PI
Buriti do Tocantins;TO
Buriti;MA
Buritinópolis;GO
Buritirama;BA
Buritirana;MA
Buritis;MG
Buritis;RO
Buritizal;SP
